,description,type,Rent,Rooms,Living space,geometry,Public_transport,Year,City
356,"
Terraced house with modern flair in sought-after Rümlang
This exceptional and freshly furnished terraced house is located in Rümlang. A spacious area awaits you in the living room, offering plenty of space for cozy hours with family and friends. The modern, open kitchen is a highlight of this property. With a total of 3 bedrooms and 2 bathrooms, there is enough space for the whole family. A balcony invites you to relax and a cellar provides additional storage space. An indoor parking space completes the offer. Everything is ready to move in, you can move in immediately and enjoy the beautiful house with all the furnishings.
Read more",Row house,5500.0,5.5,160.0,POINT (8.5319517 47.4507976),0.002072827936397881,1985.0,Rümlang
357,"
Business Apartment Espenstrasse
In a central location in Winterthur-Wulflingen, we rent a high-quality furnished 2-room apartment. The apartment is in a modern, renovated and spacious apartment building in Winterthur. Large windows guarantee a light-flooded room with a pleasant living atmosphere. The apartment also has a terrace, a shower, modern kitchen and a practical floor plan on two levels.



VARIAS Business Apartments is a concept that is perfect for traveling business people. Flexible rental contracts, short-term move-in options, high-quality design elements, functional WiFi and an operational printer are some of the amenities of VARIAS Business Apartments.

Note: The prices and dates shown are not necessarily final and should only be used for informational purposes. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2178.0,8.0,50.0,POINT (8.6829989 47.5058491),0.002098782190769236,2007.0,Winterthur
358,"
Your new oasis of well-being
As of April 1st, 2023 we rent this beautiful 3.0 room apartment in Affoltern am Albis.

The apartment offers you the following amenities:
Living room and bedroom with parquet floor
Kitchen and wet room with easy-care, dark tile floor
Bright and spacious bedrooms
Pet are allowed.

If required, a parking space can be rented for CHF 140.00 per month.

Vicinity:
Have we piqued your interest? For a viewing appointment, please contact us in writing using the contact form. We look forward to your inquiry.
Read more",Apartment,1420.0,3.0,76.0,POINT (8.4500435 47.2757083),0.0034023188500496245,1987.0,Affoltern am Albis
359,"
Economy Studio
Affordable accommodation with excellent public transport connections in the heart of the airport town of Kloten!
This bright studio on the 4th floor is 20m2 and has an open plan area with a bed measuring 90cmx210cm, an armchair, a desk and a flat screen TV. In the bathroom you will find a shower/toilet, towels, care products and a hairdryer. The studio also has a small balcony.

The kitchenette offers a microwave with baking and grilling options including a stove, cooking utensils, refrigerator and coffee capsule machine. If you don't want to cook, we recommend the hotel's Tschadun restaurant, which delights with delicious seasonal variations. It's also easy to chat with other people from all over the world at the bar... There is a washer/dryer in the building next door, which you can use for an additional charge. There is also an ironing room.

Of course you can also use the hotel's fitness room as you please.
Cleaning is included once a week, and the final cleaning is also included in the price.

Note: the prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2350.0,1.0,20.0,POINT (8.5905104 47.4476434),0.0028449278905729397,1984.0,Kloten
360,"
Family apartment is looking for new residents
We are renting out this beautiful two-story 4.5 room apartment in a central and child-friendly location on November 1st, 2020.

This apartment has the following advantages:
Living room and bedroom with parquet floor
Wet cells and kitchen with slab floor
Pet are allowed.

If necessary, a parking space can be rented for CHF 110.00 per month.

Surroundings:
Please note that the pictures serve as reference pictures and may differ from the original.

Have we piqued your interest? For a viewing appointment, please contact us in writing using the contact form. We look forward to your inquiry.
Read more",Apartment,2390.0,4.5,159.0,POINT (8.5447055 47.5027664),0.0018537237291717792,2002.0,Bachenbülach
362,"
Central apartment with balcony
We are renting this beautiful 4-room apartment on the mezzanine floor in an optimal location as of January 1, 2024, which offers the following standard of development:

- Living room with parquet floors
- Bedroom with laminate/parquet flooring
- Corridor with built-in wardrobe
- Kitchen with ceramic glass and dishwasher
- Bathroom with bathtub
- separate toilet
- Balcony
- Basement, cellar

The property is excellently developed and is located in Winterthur. With bus number 2, 3 or 676 you can reach Winterthur main station every eight minutes in around ten minutes.

Parking is possible directly in front of and around the property in the blue zone.



Read more",Apartment,1900.0,4.0,82.0,POINT (8.723316380014047 47.50634695),0.002598048699070703,1967.0,Winterthur
363,"2 Bedroom Apartment in the heart of Zurich
Quiet 2 Bedroom Apartment in the center of Zurich

- completely furnished
- fully equipped kitchen
- Wi-Fi internet access incl.
- 24 hour hotline
- FLAT TV incl.
- all additional costs included (including electricity, hot water, communal laundry room in the basement, etc.)
- SERAFE NOT INCLUDED.
- Pets on request
- Parking spaces on request
- CLEANING 1 times a week including but excluding bed linen and towels
- Including garbage disposal
- Final cleaning included

Hinweis: Die angezeigten Preise und Daten sind nicht unbedingt final und sollten nur zu Informationszwecken verwendet werden. Sie sind nicht Vertragsgegenstand und demnach nicht verbindlich.

Energieausweis
Dieses Gebaude unterliegt nicht den Anforderungen der EnEV.
Read more",Furnished flat,3610.0,2.0,60.0,POINT (8.5314558 47.3733757),0.0013087464434748527,1893.0,Zürich
364,"
Modern studio with balcony
Â· High-end apartment for discerning tastes
Â· Large balcony
Â· Modern kitchen with plenty of space
Â· Parquet flooring in the living and sleeping area
Â· Comfortable bathroom with walk-in shower
Â· En suite washing machine and dryer
Â · The pictures are visualisations, as the renovation is not yet complete
Â· Within walking distance from Zurich main station
Â· One minute walk to public transport

The studio is fully equipped, including Smart TV and WiFi. Household appliances such as a coffee maker, kettle, toaster, iron, vacuum cleaner and hair dryer are available. The kitchenette is equipped with the usual utensils such as pots, pans, crockery and cutlery.


Please note that the provider charges an additional VAT of 3.7% for guests who will not register in Zurich. on the total rental price.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,3689.0,3.0,46.0,POINT (8.5444664 47.3825728),0.0008191564754274014,1977.0,Zürich
365,"
Comfortably furnished for 2 people
Â· High-end apartment for discerning tastes
Â· Large balcony
Â· Modern kitchen
Â· Parquet floors in the living and sleeping area
Â· Comfortable bathroom with walk-in shower
Â· En suite washing machine and dryer
Â· The pictures are visualisations, as the renovation is not yet complete
Â· Within walking distance of Zurich main station
Â· One minute walk to public transport

The apartment is fully equipped, including a flat screen TV and WiFi. Household appliances such as a coffee maker, kettle, toaster, iron, vacuum cleaner and hair dryer are available. The kitchenette is equipped with the usual utensils such as pots, pans, crockery and cutlery.

The apartments are currently under construction. The images are therefore visualizations. The rooms and room sizes were visualized according to the construction plan. The materials such as parquet, slab floors, kitchen extensions, etc. correspond to reality. The pictures of the furniture are samples and will therefore not be exactly the same.

Please note that the provider charges an additional VAT of 3.7% on the total rental price for guests who will not register in Zurich.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,3590.0,2.0,35.0,POINT (8.5444664 47.3825728),0.0008191564754274014,1977.0,Zürich
366,"
A paradise for children
We rent this cozy and spacious 4.5 room apartment in a traffic-calmed location immediately or by arrangement.

This apartment offers you the following advantages:
Living room, bedroom and children's room with easy-care parquet floor
Wet cells with a light tiled floor
Pet are allowed.

If required, a parking space can be rented for CHF 100.00 per month.

Vicinity:
Please note that the images serve as reference images and may differ from the original.

Have we piqued your interest? For a viewing appointment, please contact us in writing using the contact form. We look forward to your inquiry.
Read more",Apartment,1570.0,4.5,98.0,POINT (8.7238206 47.2758758),0.00446724653760108,1983.0,Oetwil am See
367,"
YOUR PERFECT SINGLE HOME
**First letting after refurbishment**
Country life meets urban happenings - Here you live in an idyllic, lushly green residential area and still enjoy all the advantages of the city of Zurich.

Only a few apartments are still available - reserve your dream apartment now:

Entrance area with cloakroom and intercom system with video function
To submit your application and to book an appointment to view the model apartment, please visit the website .

Please note that we can only consider fully submitted dossiers. Thank you very much.

We are looking forward to your contact.

The listed impressions (visualizations and photos) are protected by copyright and may not be used by third parties. The photos are of the model apartment of the project. Other apartment types may differ from these impressions.
Read more",Apartment,2070.0,2.5,49.0,POINT (8.5024338287006 47.417462150000006),0.0037462745483356832,1986.0,Zürich
368,"
Modern apartment in hotel
The flexible symbiosis of the introverted retreat and the communicative, open living space. The apartment is aimed at the modern and progressive long-term guest who is looking for both community and privacy. Thanks to the connection to the hotel, the apartment guests can also take advantage of the full hotel service if they wish.
Here you don't just rent a hotel room, an apartment or a suite, but the idea and possibilities of owning your own home with hotel service and infrastructure - this is in the large area Zurich a unique concept.

All tenants have access to our spacious LIVING ROOM / LIVING ROOM with the integrated kitchen-living room and the attractive LOUNGE infrastructure. More than just a long-stay apartment - a temporary home.

The rooms are aimed at short travelers and business people who are planning a few days with small luggage. But also to long-stay guests who are traveling on a small budget and don't want kitchen. Alternatively, guests will find their kitchen and a comfortable living room in our kitchen-living room on the ground floor. 150.--

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not the subject of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2122.0,1.0,30.0,POINT (8.4733553 47.4377655),0.0011827891709917228,1996.0,Regensdorf
369,"
Rent without deposit - Nice apartment in a quiet location
The apartment offers you the following advantages:

- Parquet throughout the apartment, kitchen with tile floor
- Closed kitchen with dishwasher and glass ceramic hob
- Bathroom with double sink
- Separate toilet
- Cozy and quiet balcony
- Playground in the superstructure
- Parking spaces available at CHF 130.00 and parking spaces at CHF 60.00

Have we piqued your interest? Then do not hesitate to contact us.

*Pictures show the standard and are not object-specific*
- Multimedia socket
Read more",Apartment,1599.0,4.5,87.0,POINT (8.7844811 47.371558),0.0018242370564708528,1984.0,Pfäffikon
370,"
2 room apartment in the center of Zurich
The self-check-in apartments offer a kitchen and a bathroom in a typical Zurich residential area in a quiet location in the city center, near the Sihl promenade and many transport connections.

Friendly and attractively furnished apartments, fair prices and a perfect housekeeping service guarantee you pleasant stay. The apartments offer vacationers and business travelers alike relaxation and tranquility in apartments with great infrastructure and facilities.

Note: The prices and dates shown are not necessarily final and should only be used for informational purposes. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,3088.0,3.0,30.0,POINT (8.5216742 47.3680541),0.0013655634668408296,1978.0,Zürich
372,"
Rent without deposit - Sunny, bright apartment
*Rent without deposit* ...lake and local recreation area practically on your doorstep

The apartment also has the following convincing attributes:

- Parquet flooring in the living room",Apartment,1675.0,3.5,84.0,POINT (8.7826105 47.3680793),0.0010485979689244887,1954.0,Pfäffikon
373,"
Spacious single apartment in a great location!
We rent this 1-room apartment, which is ideal for singles. In addition to the attractive floor plan, this property impresses with the following standard of construction:

- bright living spaces
- modern kitchen
- with glass ceramic stove
- modern bathroom
- with window
- no balcony
- Redoubt
- with storage space
- Basement compartment

The photos are sample images that represent the expansion standard. You can find the exact room layout in the floor plan.

Unfortunately, there are currently no parking spaces available.

Uster train station, with good train connections in all directions, is just an 11-minute walk from the property.

Good shopping opportunities such as a Migros, an Aldi or a Denner are also within walking distance.

Have we piqued your interest?
Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,840.0,1.0,40.0,POINT (8.712770400000005 47.3560713),0.0003044464097852126,1954.0,Uster
374,"
Living on Lake Zurich
We rent this modern apartment in a prime location. The apartment offers you the following standard of development:

- closed kitchen



Read more",Apartment,1830.0,4.0,93.0,POINT (8.631870701573433 47.249559),0.001321743856607596,1961.0,Wädenswil
375,"
1.5 room apartment in district 4 for rent
We are renting this beautiful 1.5 room apartment on the 5th floor at Knüslistrasse 6. The apartment has the following expansion to offer you.

- Bathroom with bathtub",Apartment,1550.0,1.5,40.0,POINT (8.508908083920772 47.38450775),0.0004108726545894143,1955.0,Zürich
376,"
In an idyllic and quiet location in Witikon
We rent this beautiful 3.5 room apartment on the 1st floor on the right (without elevator) immediately or by arrangement, which offers you the following standard of construction:

- Kitchen with dishwasher and vitroceramic
- Bathroom with bath and double sink
- separate toilet
- bright living room
- 2 balconies
- Cellar compartment

Note: These are sample images that only show the standard of construction.

Various shops, schools and public transport can be reached in a few minutes on foot.

Contact us today to arrange a viewing appointment.

A parking space can be rented if required.

Read more",Apartment,2120.0,3.5,74.0,POINT (8.601119253611898 47.3605865),0.0017475870015172517,1970.0,Zürich
378,"
Exclusive apartment near the Rhine Falls
We rent these out from now on or by arrangement",Apartment,2500.0,5.5,200.0,POINT (8.605114363615701 47.6448759),0.0002755848188543277,1602.0,Rheinau
379,"Ideale Liembach, 2.5 Zim. mit Keller und W-T. 5 Min. zum Markt
Komm und fuhl dich vom ersten Tag an in dieser stilvoll 2-Zimmer Wohnung in Zurich wie zu Hause. Du wirst es lieben in diese geschmackvoll eingerichtete, besonders durchdachte und voll ausgestattete District 2, Leimbach Wohnung mit atemberaubendem Balkonblick auf den Fluss See nach Hause zu kommen. (ID",Furnished flat,2550.0,4.0,56.0,POINT (8.5170443 47.3317127),0.0021546753723351553,1984.0,Zürich
380,"
Beautiful apartment is looking for a new tenant
As of June 1st, 2023 we are renting this beautiful 2.5 room apartment in the heart of Wetzikon.

The apartment offers you the following amenities:
Living room, bedroom and kitchen with parquet floor
Bathroom with dark tile floor
Large living room with lots of natural light
Pet are allowed.

If required, a parking space can be rented for CHF 145.00 per month.

Vicinity:
Please note that the images serve as reference images and may differ from the original.

Have we piqued your interest? For a viewing appointment, please contact us in writing using the contact form. We look forward to your inquiry.
Read more",Apartment,1370.0,2.5,59.0,POINT (8.797170563347247 47.32877445),0.001973982588727855,2013.0,Wetzikon (ZH)
381,"Hufte Altstetten 1.5 Zim.,Keller,W-T. 7Min. z. Markt
Fuhl dich wie zu Hause, ganz egal wo du mit wohnen willst. Du wirst von dieser geraumig moblierten District 9, Altstetten Studio/1-Zimmer Wohnung mit moderner Inneneinrichtung, voll ausgestatteten Kuche, und geraumig Wohnzimmer. Optimal gelegen, hast du das Beste, was Zurich zu bieten hat, ganz in der Nahe! (ID",Furnished flat,2914.0,3.0,32.0,POINT (8.4794245 47.3891036),0.0018115972674211333,1947.0,Zürich
382,"Schike Wiedikon 2.0 Zim.,Keller,W-T. 3 Min. zum Markt
Fuhl dich wie zu Hause, ganz egal wo du mit wohnen willst. Du wirst von dieser anspruchsvoll moblierten District 3, Wiedikon 2-Zimmer Wohnung mit moderner Inneneinrichtung, voll ausgestatteten Kuche, und anspruchsvoll Wohnzimmer mit tollem Balkonblick begeistert sein. Optimal gelegen, hast du das Beste, was Zurich zu bieten hat, ganz in der Nahe! (ID",Furnished flat,3912.0,2.0,55.0,POINT (8.5187647 47.3703941),0.00040138561987418094,1988.0,Zürich
383,"
Apartment on the pulse of Zurich!
We rent this centrally located 1.5 room apartment, which is ideal for singles.
In addition to the appealing floor plan, this property has the following standard of construction:

- bright living room
- with oiled oak parquet floor
- modern kitchen
- with glass ceramic hob
- with microwave
- balcony
- Cellar compartment

The photos are sample images that represent the expansion standard. The exact room layout can be found in the floor plan.

If required and available, a parking space can be rented for CHF 250.00 per month.

Public transport is available to you in abundance and will take you within a short time to Zurich main station, from where you have connections in all directions.

Various shops, such as a Migros or a Coop are only an 8-minute walk away.

You will also find a large number of restaurants, such as a vegan restaurant, a southern Italian, a Lebanese, an Argentinian, an Asian or a Turkish restaurant, which are only a three-minute walk away. Also there are many different cafes and bars that are similarly close to the property.

Various options are available for leisure activities, such as a fitness studio, a cinema, many shopping opportunities and various museums, all of which are in the immediate vicinity of the property.

Have we piqued your interest?

Then do not hesitate and contact us directly in the advertisement via ""Viewing"" to receive the viewing information.

We look forward to your digital registration.
!
Read more",Apartment,1556.0,1.5,24.0,POINT (8.522689940681232 47.37918145),0.0006493231026068879,2017.0,Zürich
384,"
Bright business apartment in Zurich
Do you have to travel to Zurich on business and haven't found suitable accommodation yet? Check out this modern and furnished business apartment - it's perfect for business travellers!
The bright apartment has 2.5 rooms. It offers sleeping places for four people. So you can come alone or with your family. The apartment also has a kitchen with ceramic hob, oven, coffee maker and all the usual kitchen utensils. The bathroom is equipped with a toilet, shower, hand and bath towels, hair dryer and toiletries.
The following services are included in the price: wireless internet, television, monthly intermediate cleaning, bed linen, hand and bath towels, all additional costs, laundry facilities and final cleaning.

Note: The prices and dates shown are not necessarily final and should only be used for information purposes be used. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,3472.0,1.0,33.0,POINT (8.5262934 47.376154),0.0005866358495971877,1906.0,Zürich
386,"
Beautiful apartment in District 4 in Aussersihl
The beautiful, open-plan apartment in Aussersihl with independent check-in awaits you in a quiet yet central location with excellent transport connections, near the Neue Borse and the Sihlpromenade.

The apartment has a kitchenette and a bathroom and is pleasantly furnished. Fair prices and a cleaning service contribute to a pleasant stay.

Note: The prices and dates shown are not necessarily final and should only be used for informational purposes. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2280.0,1.0,20.0,POINT (8.5287556 47.371315),0.0021654043922059983,1894.0,Zürich
387,"
Business Apartment Zurcherstrasse Winterthur
In a central location in Winterthur, we rent a high-quality furnished 1.5 room apartment. The apartment is in a modern and spacious new building in Winterthur. Large windows guarantee a light-flooded room with a pleasant living atmosphere. The apartment has a spacious loggia, a large shower with a glass partition, a modern kitchen and an individual floor plan.

VARIAS Business Apartments is a concept that is perfect for traveling business people. Flexible rental contracts, short-term move-in options, high-quality design elements, functional WiFi and an operational printer are some of the amenities of VARIAS Business Apartments.

Note: The prices and dates shown are not necessarily final and should only be used for informational purposes. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2100.0,4.0,36.0,POINT (8.704877 47.4802662),0.0035004151764526886,1978.0,Winterthur
388,"
Chic Horgen 3 rooms, lake view, close to the train station
Come and feel at home from day one in this sophisticated 3-room apartment in Zurich. You will love coming home to this tastefully furnished, particularly well thought-out and fully equipped Horgen apartment with a great balcony view of the lake. (ID",Furnished flat,2449.0,2.0,48.0,POINT (8.7164588 47.3487664),0.0006429262648651627,1957.0,Uster
389,"
Exclusive maisonette apartment with 5.5 rooms and breathtaking lake views in Zollikon
An exclusive maisonette apartment with a total of 5.5 rooms awaits you for rent in a sought-after location in Zollikon. This property not only offers generous space, but also a central location that is extremely attractive for both your lifestyle and your convenience.
The standout feature of this duplex apartment is undoubtedly the breathtaking lake views that you can enjoy from every window. The calming backdrop of Lake Zurich creates an inspiring living atmosphere and gives your home a special touch.


Read more",Duplex,4000.0,5.5,140.0,POINT (8.567565746189223 47.3426633),0.00024319940918298734,1907.0,Zollikon
390,"
Beautiful single apartment in Küsnacht
We are renting a new apartment (2022) in a beautiful and quiet location with the following features:

- Entire apartment with parquet, wet cells with tiles in the bathroom
- Own washing machine and tumble dryer
- Spacious living and dining area
- Bathroom with large shower
- Entrance area with fitted wardrobes and cloakroom
- Balcony
- Basement compartment
- Controlled apartment ventilation
- A parking space for CHF 200.00 per month can be rented

Have we aroused interest?
For a viewing appointment, application link and further information, send us a message using the “Contact provider” contact form. You will then receive an automatic message with all the necessary information.

Pictures show the standard. Please see the floor plan for the effective room layout.
Read more",Apartment,2630.0,1.5,56.0,POINT (8.579454559425798 47.32071595),0.0017498584171404805,1972.0,Küsnacht (ZH)
391,"
Modern 2.5 room apartment near Schaffhauserplatz
We are renting this modern 2.5 room apartment in the immediate vicinity of Schaffhauserplatz as of November 16, 2023 with the following advantages:

- Elegant acacia parquet in ship-floor style
- New kitchen with glass ceramic, steamer, dishwasher, granite top
- Exclusive bathroom/toilet with dark slab floor
- Higher standard of construction with fine materials

Live your dream home in one of the most sought-after locations in Zurich! An oasis of peace with a central location.

The tram station “Schaffhauserplatz” is 100m away. From there you can reach Zurich main station within 6 minutes.
A parking space can also be rented.

The property was completely renovated in 2010.

The photos are not specific to the property, but simply show the standard of construction.
Read more",Apartment,2550.0,2.5,78.0,POINT (8.538273944324327 47.38998925),0.0017408563682354981,1932.0,Zürich
392,"
Luxurious attic apartment with fireplace
As of June 1st, 2023 we are renting this beautiful and modern 4.5 room apartment in Embrach.

The apartment offers you the following amenities:
Bedroom with parquet floor
Living room, kitchen and wet cells with dark tile floors
Open kitchen with ceramic hob, oven at eye level and plenty of storage space for your kitchen utensils
Pet are allowed.

If required, a parking space can be rented for CHF 130.00 per month.

Vicinity:
Please note that the images are for reference only and are dated
may differ from the original.

Have we piqued your interest? For a viewing appointment, please contact us in writing using the contact form. We look forward to your inquiry.
Read more",Apartment,2100.0,4.5,144.0,POINT (8.591921599967833 47.50972825),0.0018793945852641934,2004.0,Embrach
393,"
Living in the recreational area Greifensee
We rent this beautiful apartment in Greifensee with the following key details:

- Living and sleeping area parquet floors
- Kitchen and bathroom with slab floor
- Modern, open kitchen with dishwasher and ceramic glass
- Beautiful bathroom with toilet / double sink and washing tower
- Separate toilet
- Balcony
- Pets allowed with permission (no listed dogs)
- Parking spaces available at CHF 125.00/month
- Near S-Bahn station Nänikon-Greifensee
- Good shopping opportunities in the center of Meierwi
- On foot in about 10 minutes at Greifensee
- Further information about the development on www.muellerwis.ch

Between 2024-2029, an energy-efficient building envelope renovation will take place in an inhabited state.


Have we aroused interest?

For a viewing appointment, application link and further information, send us a message using the “Contact provider” contact form. You will then receive an automatic message with all the necessary information.

(Photos correspond to the standard)
Read more",Apartment,1839.0,4.5,97.0,POINT (8.6804381 47.37108885),0.0027766033294306753,1969.0,Greifensee
394,"
January hole Adee! 1 month free stay!
Are you looking for a modern, bright apartment in a top location? Then we have just what you are looking for! In the building ""Atrium 565"", which was completed for first occupancy in April 2017, we are renting a spacious, light-flooded 3.5-room apartment on the 2nd floor from February 1, 2024.

In addition to the large kitchen with cooking island and induction cooker, the apartment scores with the following features:

- Practical floor plan
- High-quality parquet throughout the apartment
- Own washing machine and tumble dryer
- Redoubt
- 2 wet cells
- Large living/dining area
- Beautiful balcony that invites you to linger

The viewing appointments take place as follows:

Friday, December 15, 2023
Read more",Apartment,2910.0,3.5,97.0,POINT (8.497843595038976 47.38380365),0.0016335769013281292,2017.0,Zürich
395,"
1.5 room apartment in the heart of Kloten, limited until September 30th, 2024
The child-friendly property is located in a top residential area. Public transport and shopping opportunities are in the immediate vicinity.

The apartment offers you the following comfort:



Read more",Apartment,903.0,1.5,59.0,POINT (8.583662013585283 47.44938265),0.00056035149934069,1990.0,Kloten
396,"
Live close to nature, enjoy city life. Limited for 1 year!
In an idyllic setting surrounded by nature, we are offering this spacious 2.5-room apartment for rent for a limited period of 1 year with immediate effect or by arrangement.

This excellent apartment presents a variety of amenities that create a comfortable and sophisticated living environment:

- Living room and bedroom with parquet floors
- Built-in wardrobes
- Kitchen with granite top
- and dishwasher
- Bath / WC
- Balcony
- Basement compartment

The attached pictures give you an impression of the expansion style.

In 2010, both the kitchen and the bathroom were newly renovated, which also contributes to a modern living feeling.

If you wish, you can rent a parking space for your vehicle for CHF 125.00 per month, as well as a motorcycle parking space for CHF 25.00 per month.

The apartment not only offers a pleasant living atmosphere, but also excellent transport connections. The ""Weidli"" bus stop, which is served by bus line 812 and takes you directly to Uster train station, is in the immediate vicinity. This gives you convenient access to public transport and the surrounding regions.

The location of this apartment also offers a wealth of shopping opportunities and service providers for daily needs in the surrounding area. You'll find everything you need, from grocery stores to pharmacies and other amenities, all within easy reach.

Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”.

You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,1440.0,2.5,52.0,POINT (8.730893102984584 47.35514365),0.00036117133888112274,1970.0,Uster
397,"
Studio near Zurich city center
The following is included in the monthly rent:

Additional costs (water, heating)
Furniture (bed, sofa, chairs, table)
Cake accessories (pans, pots, cooking utensils, dishes, glasses, cutlery)
Electrical appliances (coffee machine, toaster, Vacuum cleaner, hairdryer, iron)
Living, sleeping and bathroom textiles
Accessories for laundry",Furnished flat,3696.0,9.0,70.0,POINT (8.6024399 47.3974968),0.0017809644292350072,1974.0,Dübendorf
398,"
Behind the opera house, Zurich district 8, Seefeld
We are renting a large 3-room apartment at Hufgasse 19 in 8008 Zurich which offers the following expansion:

-Oak parquet flooring
-Completed modern kitchen
-Dishwasher and glass ceramic stove
-Bathroom with bathtub
-Connection for washing machine and tumbler
-Separate toilet
-Balcony at",Apartment,3470.0,3.0,83.0,POINT (8.549525384447094 47.36489795),0.0017283366192792921,1939.0,Zürich
399,"
Fantastic 5.5-room single-family home in Oetwil am See with a large garden
Are you looking for the ideal home for your young family or are you an aspiring couple looking to start their future together? Then this light-flooded 5.5-room single-family home in Oetwil am See could be exactly what you are looking for!
This single-family home is characterized by a beautiful, spacious garden with its own barbecue area, which is perfect for sociable evenings outdoors. In the winter months you can make yourself comfortable in the cozy living room in front of the roaring fireplace and enjoy the cozy warmth.


Read more",Single house,4170.0,5.5,140.0,POINT (8.7233522 47.2739618),0.003478611593675884,2004.0,Oetwil am See
400,"
Beautiful Wiedikon 1.5ZW with cellar and WT, close to the SBahn
Discover what Zurich has to offer with this studio/1-room apartment in District 3, Wiedikon. Arrive and immediately settle into this airy apartment with a fully equipped kitchen, charming living room and our dedicated on-site support team. (ID",Furnished flat,3687.0,1.0,33.0,POINT (8.5045292 47.362414),0.0006646840335197663,1926.0,Zürich
401,"
Attractive 7 room apartment with a renovated old building charm and a wonderful view
We are pleased to be able to present you this spacious 7-room apartment in a renovated old building. The property impresses not only with its classic charm, but also with modern amenities and a prime location. The apartment has a brand new kitchen where you can conjure up your culinary creations. A patio is at your disposal to enjoy the fresh air and the green surroundings to the fullest. In addition, a private barbecue area offers you the opportunity to spend convivial evenings outdoors. From the apartment you can enjoy a breathtaking view of the lake and mountains, which makes every day a special experience. The newly laid floor gives the rooms a modern ambience, while a cozy tiled stove provides cozy warmth in the cold months. The apartment offers many rooms that can be used individually. Please note that there is only one bathroom, but it is equipped with modern fittings and high quality fittings.




Read more",Apartment,2900.0,7.0,115.0,POINT (8.758185009263716 47.23851525),0.001482185662384839,1964.0,Stäfa
402,"Sonnige Horgen 2.5 Zim., +Lag, 3 Min. zum Markt
Fuhl dich wie zu Hause, ganz egal wo du mit wohnen willst. Du wirst von dieser hubsch moblierten Horgen 2-Zimmer Wohnung mit moderner Inneneinrichtung, voll ausgestatteten Kuche, und hubsch Wohnzimmer mit tollem Balkonblick begeistert sein. Optimal gelegen, hast du das Beste, was Zurich zu bieten hat, ganz in der Nahe! (ID",Furnished flat,2534.0,2.0,41.0,POINT (8.7164588 47.3487664),0.0006429262648651627,1957.0,Uster
403,"
Maisonette apartment in a quiet location near the Letzipark shopping center
We are renting this unique apartment in the idyllic residential area immediately and for a limited period until November 30th, 2026 with the following attributes:

- Parquet floors in all rooms
- Kitchen with ceramic hob and dishwasher
- Bath / WC
- Separate toilet
- Practical built-in wardrobes in the corridor
- spacious storage room on the mezzanine floor
- A few minutes walk to the tram station
- Balcony
- Basement compartment

Have we piqued your interest? We are looking forward to your contact.



After the inspection, you are welcome to apply online, including the current debt collection register, using the link below:

Online application:
https://service.wincasa.ch/Service-Bewerbung/
REF no. 01084.01.0004
Read more",Duplex,2480.0,3.5,87.0,POINT (8.4979596 47.3816652),0.0021062614449191136,1986.0,Zürich
404,"
Superior Studio Oerlikon
This apartment offers everything you need for a carefree life. The apartment has a double bed, a kitchen and a bathroom with shower or bathtub.

Quiet 1.5 room apartment in the center of Oerlikon
- completely furnished
- fully equipped kitchen
- Wi-Fi internet access incl.
- 24-hour hotline
- FLAT TV incl.
- All additional costs included (including electricity, hot water, shared laundry room in the basement, etc.)
- SERAFE NOT INCLUDED.
- Pets on request
- Parking spaces Inquiry
- CLEANING 1 x per week including but excluding linen and towels
- Including rubbish disposal
- Final cleaning included

Note: The prices and dates shown are not necessarily final and should only be used for informational purposes. They are not part of the contract and therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2328.0,2.0,25.0,POINT (8.5465725 47.4136512),0.0005736323736836573,1999.0,Zürich
