,description,type,Rent,Rooms,Living space,Complete Address
466,"
Visit: Wednesday, December 13, 2023, 5:00 p.m. - 5:30 p.m
As of February 1st, 2024 or by arrangement, we are renting this cozy, spacious 4.5 room apartment in Bülach. The apartment is in a quiet, family-friendly location near Bülach train station.
The apartment impresses with the following living comfort:

- Total living space of approx. 86.0 m2 (see floor plan)
- Parquet floors throughout the living area
- Bathroom/WC with tub and window
- separate toilet
- closed kitchen with dishwasher and glass ceramic hob and window
- Generous space for a cozy dining area
- Built-in cupboards in the entrance area
- sunny balcony

Information about the house:

- Full-time caretaker in the property
- Pets on request
- Cellar compartment approx. 7.7 in the basement
- Screed compartment approx. 18.8 in the attic
- 1st floor, no elevator
- Bicycle cellar in the basement
- Laundry room and drying room for shared use
- Outdoor parking space can be rented for 50.00 francs/month

Have we piqued your interest? Then take part in the open viewing appointment: Date: Wednesday December 13th, 2023 Time: 5:00 p.m. - 5:30 p.m. Our caretaker Mr. Spano will personally welcome you on site.
There are currently no further viewing dates.
Read more",Apartment,1680.0,4.5,86.0,"Kernstr. 20, 8180 Bülach"
467,"
1-room apartment in district 4 for rent
We rent this beautiful 1-room apartment at Knüslistrasse 4 in 8004 Zurich. The apartment has the following to offer:

- parquet floors
- Modern bathroom with bathtub
- Egg built-in cupboards in the corridor
- Kitchen with dishwasher and ceramic hob
- Cellar compartment
- Lift available

The Herdernstrasse bus stop is just around the corner. We look forward to your contact request.
Read more",Apartment,1400.0,1.0,37.0,"Knüslistrasse 6, 8004 Zürich"
468,"
Charming 5.5 room maisonette apartment with lover potential in a quiet location - your perfect home in Hettlingen!
This exclusive 5.5 room maisonette property is located in charming Hettlingen, an idyllic community in the canton of Zurich. The first impression when entering the house is simply breathtaking. A bright living room invites you to linger and promises cozy hours with the family. The renovated kitchen is a real highlight and becomes the heart of the house. Culinary masterpieces can be conjured up here. With a total of 3 bedrooms and 2 bathrooms, this property offers enough space for a family or young couples who want a home office option.








Read more",Duplex,2700.0,5.5,111.0,"Stationsstrasse 11, 8442 Hettlingen"
471,"
Maisonette apartment with a view
You are close to nature, enjoy the peace and quiet",Apartment,1500.0,5.5,100.0,"Poststrasse 61, 8462 Rheinau"
472,"
Living in the best location
As of July 1st, 2023 we are renting this beautiful and very modern 3.5 room apartment in Winterthur.

The apartment offers you the following amenities:
Living room and bedroom with parquet floor
Kitchen and wet cells with easy-care, dark flagstone floor
Open kitchen with ceramic hob, dishwasher, oven at eye level and plenty of storage space for your kitchen utensils
Pet are allowed.

If required, a parking space can be rented for CHF 140.00 per month.

Vicinity:
Please note that the images serve as reference images and may differ from the original.

Have we piqued your interest? For a viewing appointment, please contact us in writing using the contact form. We look forward to your inquiry.
Read more",Apartment,2120.0,3.5,110.0,"Obere Schöntalstrasse 48, 8406 Winterthur"
473,"
Sunny apartment
Sunny and very spacious 2 room apartment with high quality furniture. The apartment has a separate kitchen and a balcony.

The apartment is fully equipped, including a flat screen TV and WiFi. Household appliances such as a microwave, coffee maker, kettle, toaster, iron, vacuum cleaner and hair dryer are available. The kitchen is equipped with the usual utensils such as pots, pans, crockery and cutlery.

Please note that the provider charges an additional VAT of 3.7% for guests who will not register in Zurich total rental price.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,3977.0,2.0,55.0,"Hofackerstrasse, 8032 Zürich"
474,"
Comfortable business apartment
On 33m2, this beautiful and furnished 2.5 room apartment offers the highest level of comfort. The business apartment impresses with its central location in Zurich and its modern facilities.
The bright accommodation can accommodate four people. In the bedroom there is a double bed and in the living room there is a sofa bed for two people. In the spacious living area with open kitchen you will also find a comfortable seating area. The kitchen is equipped with everything you need to cook. Of course, modern apartments also have their own bathroom.

Note: The prices and dates shown are not necessarily final and should only be used for informational purposes. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,3472.0,1.0,33.0,"Stauffacherstrasse, 8004 Zürich"
475,"
Stylish duplex apartment with a fantastic lake view
We rent this exclusively by arrangement",Duplex,3730.0,3.5,95.0,"Seestrasse 293, 8038 Zürich"
476,"
In the center of Winterthur - RENT WITHOUT DEPOSIT
- quiet, very central location
- spacious floor plan
- modern expansion
- Kitchen with ceramic glass and dishwasher
- sunny balcony
- Parquet floors throughout the apartment
- 2nd floor with elevator

The images correspond to the standard.",Apartment,1420.0,2.5,67.0,"Heimstr. 6, 8400 Winterthur"
478,"
Economy Studio with 2 beds
Affordable accommodation with excellent public transport connections in the heart of the airport town of Kloten!
This bright studio on the 4th floor is 20m2 and has an open plan area with two beds measuring 90cmx210cm, an armchair, a desk and a flat screen TV. In the bathroom you will find a shower/toilet, towels, care products and a hairdryer. The studio also has a small balcony.

The kitchenette offers a microwave with baking and grilling options including a stove, cooking utensils, refrigerator and coffee capsule machine. If you don't want to cook, we recommend the hotel's Tschadun restaurant, which delights with delicious seasonal tapas variations. It's also easy to chat with other people from all over the world at the bar... There is a washer/dryer in the building next door, which you can use for an additional charge. There is also an ironing room.

Of course you can also use the hotel's fitness room as you please.
Cleaning is included once a week, and the final cleaning is also included in the price.

Note: the prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2450.0,1.0,20.0,"Hamelirainstrasse, 8302 Kloten"
481,"
First-class living
We are renting a spacious apartment with the following highlights as of January 16, 2024 or by arrangement:

- Kitchen with ceramic glass and dishwasher
- Open dining area
- Living room with parquet
- Quiet location with a view of the Heitersberg
- High ground floor with large balcony
- Additional balcony near the bedroom
- Shopping opportunities are nearby
- Ideal transport connections
- Parking space can be rented for CHF 60.00


*Example images may differ from the actual floor plan*

Have we piqued your interest? We look forward to your inquiry!
Read more",Apartment,1500.0,3.5,72.0,"Taleggstrasse 5, 8953 Dietikon"
482,"
On the best residential location in Zurich-Oerlikon
As of February 1, 2024, we are renting a very modern 4.5-room apartment on the 3rd floor with that certain something. The property, which was built in June 2014, impresses with a diverse floor plan, modern interior design and very high-quality construction.

Your benefits at a glance:

Home in the best residential location
- Tram stop
- Felsenrainstrasse right in front of the front door
- Excellent connections in all directions from Oerlikon train station
- Shopping opportunities in the immediate vicinity

Timeless construction
- Minergie standard
- Light-flooded rooms
- Floor plans that can be easily furnished
- Modern living concept

High quality equipment
- Open plan kitchen with granite top
Read more",Apartment,3550.0,4.5,98.0,"Eggbühlstrasse 9, 8050 Zürich"
483,"
Great feel-good property in the tax-efficient and popular Kilchberg!
In a well-kept property, we are renting out this great 3.5-room apartment immediately or by arrangement, which is located in a rural area and, in addition to modern equipment, has the following amenities to offer:

- Entrance area with fitted wardrobes
- all living rooms with oak parquet floors
- spacious living and dining room
- modern kitchen with granite top
- with dishwasher and glass ceramic stove
- with oven and large refrigerator
- modern bathroom
- separate guest toilet
- Balcony
- Basement compartment

These are sample images that show the standard of construction. Please see the floor plan for the exact room layout.

If required, a parking space can be rented separately for CHF 150.00 per month.

In the immediate vicinity is the “Mythenstrasse” bus station, which is served by bus line 163. You can reach Kilchberg train station in around 15 minutes. You can cover this distance on foot in 20 minutes. Drivers can reach the motorway junction in just a few minutes.

Various shopping opportunities and service providers can be found in the center of Kilchberg. The center is located near Lake Zurich, where you can also visit the seaside resort of Kilchberg in summer. A little insider tip: The Hiltl restaurant offers delicacies in the seaside resort.

The local recreation area is very close to your new home. You can reach the Stockengut farm in less than 5 minutes. You can shop in the farm shop with a clear conscience; the farm manager couple attaches great importance to ecologically sound and sustainable production. There is even more to experience, let yourself be surprised.

Have we piqued your interest? Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.

We look forward to receiving your digital application after the viewing.
Read more",Apartment,2200.0,3.5,81.0,"Bächlerstrasse 38, 8802 Kilchberg ZH"
484,"
Attic apartment in Glattpark - Lilienthal development
As of February 1st, 2024 we are renting the bright 2.5 room apartment in a central location in Glattpark. The apartment includes the following key details:

- Entire apartment parquet
- modern, open kitchen with GS and GK
- Bathroom/toilet with ceramic tiles
- separate toilet with shower
- Reduit with washing machine and tumbler
- 2 terraces of 9.5 m2 11.4 m2 each
- Basement, cellar
- Man-made lake and park nearby
- Parking spaces at CHF 150 per month.

(Images are not object specific)
Read more",Attic flat,2340.0,2.5,83.0,"Farmanstr. 31, 8152 Glattpark (Opfikon)"
485,"
Fantastic 4.5 terrace apartment in Horgen - living at the highest level!
Terrace apartment with 4.5 rooms in the Horgen region (Canton ZH). The bright and cozy living room offers plenty of space to relax. The open kitchen with cooking island invites you to cook together. With 3 bedrooms and 2 bathrooms, the apartment offers enough space for a family. A cellar provides additional storage space. The apartment is located in a city with good infrastructure, just a few meters from shops, schools and transport links.

The building was built in 1860 but renovated in 2000. The region is well developed and offers a variety of restaurants, cafes, bars, shopping, leisure facilities, a swimming pool and schools. The apartment has efficient radiator heating.


Read more",Terrace flat,3500.0,4.5,120.0,"Kelliweg 10, 8810 Horgen"
487,"
Modern studio with balcony
Â· High-end apartment for discerning tastes
Â· Large balcony
Â· Modern kitchen with plenty of space
Â· Parquet flooring in the living and sleeping area
Â· Comfortable bathroom with walk-in shower
Â· En suite washing machine and dryer
Â · The pictures are visualisations, as the renovation is not yet complete
Â· Within walking distance from Zurich main station
Â· One minute walk to public transport

The studio is fully equipped, including Smart TV and WiFi. Household appliances such as a coffee maker, kettle, toaster, iron, vacuum cleaner and hair dryer are available. The kitchenette is equipped with the usual utensils such as pots, pans, crockery and cutlery.


Please note that the provider charges an additional VAT of 3.7% for guests who will not register in Zurich. on the total rental price.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,3146.0,1.0,27.0,"Sonneggstrasse, 8006 Zürich"
488,"
Your new apartment with a view of the countryside
We rent this attractive 2 room apartment immediately or by arrangement , which offers the following facilities:

- Living room and bedroom with parquet floor
- Kitchen and bathroom with dark floor panels
- Modern open kitchen
- Dishwasher
- Glass ceramic cooker
- Modern bathroom with bright tiles and window
- Balcony with a view of the countryside
- Cellar compartment

If required, a parking space in the underground car park can be rented for CHF 120.00.

For sports enthusiasts there are various sports facilities within a few minutes' walk.
Shopping tours are also not neglected. The Grüzemarkt and the ""Seen"" shopping center are nearby.
The schools and the kindergarten are also within walking distance.
A bus stop is right in front of the house. You can reach the old town within 10 minutes.

Please note that the images serve as reference images and may differ from the original.

Have we piqued your interest?
Read more",Apartment,1300.0,2.0,45.0,"Seenerstrasse 170, 8405 Winterthur"
489,"
Happiness at first sight
As of May 1st, 2023 we are renting this beautiful and modern 2.5 room apartment in Wallisellen.

The apartment offers you the following amenities:
Living room, bedroom and kitchen with light parquet floor
Wet room with dark, easy-care tiled floor
Light-flooded and spacious rooms
Pet are allowed.

If required, a parking space can be rented for CHF 160.00 per month.

Vicinity:
Please note that the images serve as reference images and may differ from the original.

Have we piqued your interest? For a viewing appointment, please contact us in writing using the contact form. We look forward to your inquiry.
Read more",Apartment,2140.0,2.5,121.0,"Zwickystrasse 18, 8304 Wallisellen"
490,"
Your apartment search ends in miles
As of March 1st, 2023 we are renting this cozy 3.5 room apartment in Meilen.

The apartment offers you the following amenities:
Living room and bedroom with parquet floor
Kitchen with PVC floor
Bathroom with dark tile floor
Pet are allowed.

If required, a parking space can be rented for CHF 140.00 per month.

Vicinity:
Please note that the images serve as reference images and may differ from the original.

Have we piqued your interest? For a viewing appointment, please contact us in writing using the contact form. We look forward to your inquiry.
Read more",Apartment,1555.0,3.5,87.0,"In der Au 28, 8706 Meilen"
492,"
Classic Apartment Zurich
Renovated 2.5 room apartment with 52m2, fully equipped and tastefully furnished. Large kitchen with dishwasher, fridge and freezer. Bathtub and own washing machine with dryer in the basement.

Weekly cleaning of the apartment with change of linen (towels and bed linen) included in the price.

Note: The prices and dates shown are not necessarily final and should only be used for informational purposes. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,3610.0,5.0,52.0,"Gujerstrasse, 8050 Zürich"
493,"
Single apartment in a central location
As of April 1st, 2023 we are renting this beautiful 1.0 room apartment in the heart of Volketswil.

The apartment offers you the following amenities:
Living/sleeping room with parquet floor
Bathroom with light tile floor
Large living room/bedroom with lots of daylight
Pet are allowed.

Vicinity:
Please note that the images serve as reference images and may differ from the original.

Have we piqued your interest? For a viewing appointment, please contact us in writing using the contact form. We look forward to your inquiry.
Read more",Apartment,860.0,1.0,35.0,"Säntisweg 3, 8604 Volketswil"
495,"
Attic apartment with large terrace
In the Vogelsang area, the spacious attic apartment offers you the following advantages:

- Parquet in all rooms, wet room with slab floor
- Bathroom/WC with washing tower
- Kitchen with induction hob, oven and dishwasher
- Built-in wardrobes in the corridor
- Redoubt
- Entire apartment with underfloor heating
- Uncovered balcony (approx. 14m2)
- Large terrace (approx. 78m2) with pergola
- Lift available
- Own cellar compartment
- Parking space (CHF 130.00/month) and craft rooms can be rented


A property with LIVING SERVICES | www.livingservices.ch
- Multimedia socket
Read more",Attic flat,2420.0,3.5,96.0,"Tösstalstr. 116, 8623 Wetzikon ZH"
496,"
Beautiful and modern city apartment with a unique view
This top modern 4.5-room apartment with a view of the countryside offers you, in addition to a spacious floor plan, the following features:

- entire apartment with parquet floors
- modern standard of construction
- open, spacious kitchen
- large work surface
- with glass ceramic stove
- and dishwasher
- Natural stone cover
- Bathroom/toilet with bathtub
- Washing machine/tumble dryer
- separate toilet with shower
- Built-in wardrobes
- large balcony
- Cellar compartment

These are sample images that show the standard of construction.
Please see the floor plan for the exact room layout.

Upon request and availability, a parking space can be rented for CHF 130.00, a garage box for CHF 150.00 or a motorcycle space for CHF 50.00 per month.

The ""Winterthur, Waldegg"" bus stop, which is served by bus line 2, is in the immediate vicinity. The city center with various shopping opportunities and the local recreation area are easily accessible on foot.

Have we piqued your interest? Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.

We look forward to receiving your digital application after the viewing.
Read more",Apartment,2316.0,4.5,109.0,"Weberstrasse 91, 8400 Winterthur"
497,"
Nice newly built apartment in a quiet location
We rent a beautiful apartment in a quiet location with the following features:

- Entire apartment with parquet, wet rooms and reduit with tiles
- Spacious living and dining area with access to the balcony
- Two bathrooms (1x shower/toilet, 1x bathtub/toilet)
- Master bedroom with direct access to the bathroom
- Entrance area with built-in wardrobe and wardrobe
- Washing tower in shower/toilet
- A parking space for CHF 125.00/month can be rented

Have we piqued your interest? Then do not hesitate to contact us.

*The images show the standard and are not object-specific*
- Fiber optic connection
Read more",Apartment,1920.0,4.5,100.0,"Ulmenstrasse 11, 8636 Wald ZH"
498,"
Modern apartment in a prime location for rent
We are renting this renovated, modern and centrally located 3.5-room apartment as of February 1st, 2024. In addition to the attractive floor plan, the residential property offers you the following amenities:

- friendly entrance area
- Living and dining area with parquet floors
- closed kitchen with modern equipment
- and dishwasher
- Bathroom with bathtub and slab floor
- with its own washing tower
- Balcony
- and roof terrace for shared use
- Basement and attic compartment

The photos are sample images that are intended to show the standard of construction. You can see the exact room layout in the floor plan.

Unfortunately there is no parking available at this property.

The ""Wipkingen"" train station, which is served by the S24, is just a few minutes' walk from the property. From there you can get directly to the “Zurich HB”. There are also several bus and tram stops near the property. You can also easily reach the city center by bike.

Various shopping opportunities such as a Migros or a Coop are located near the property. You will also find several restaurants and other service providers in the area. Bahnhofstrasse, which is easy to reach by public transport, also offers many other shopping opportunities.

The well-known river baths ""Upper and Lower Letten"" are close to the property. It's not only suitable for swimming and relaxing, but you can also experience Zurich city life up close.

Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.

We look forward to receiving your digital application after the viewing.
Read more",Apartment,3432.0,3.5,76.0,"Rütschistrasse 16, 8037 Zürich"
500,"
Centrally located 3-room apartment
As of mid-December or by arrangement, we are renting out the centrally located 3-room apartment with the following key details:

- modern kitchen with glass ceramic stove
- Dishwasher
- Balcony
- modern bathroom/toilet
- various shopping opportunities nearby",Apartment,2290.0,3.0,63.0,"Rotwandstrasse 10, 8004 Zürich"
501,"
City apartment in a top location
We rent this beautiful apartment in a prime location. The apartment offers you the following standard of construction:

- Kitchen with plenty of storage space
- Glass ceramic stove
- Dishwasher
- Bathroom with bathtub
- Parquet floors in the living area
- Ceramic tiles in the kitchen, bathroom and corridor
- Closet in corridor
- Large balcony
- Cellar compartment

The property is currently in the final stages of renovating the facade and modernizing the external thermal insulation. The property will also be equipped with geothermal probes and a heat pump.

The property is located in a preferred residential area close to various shopping opportunities and public transport. The Sihlcity shopping center can be reached within 5 minutes on foot. By car you can be on the motorway in no time.

Read more",Apartment,2550.0,2.0,51.0,"Schulhausstrasse 53, 8002 Zürich"
502,"
Charming city apartment
We are renting this 3-room apartment for a limited period until September 30th, 2024, immediately or by arrangement

This cozy city apartment is in a central yet quiet location and impresses with the following points:





Read more",Apartment,1920.0,3.0,76.0,"Waffenplatzstrasse 80, 8002 Zürich"
503,"
Ultra-modern living in picturesque surroundings
We are renting this beautiful 3.5-room apartment on February 1st, 2024 or by agreement.

- Oak parquet floors in all rooms
- Bathroom with elegant tile flooring
- Ultra-modern kitchen with GK, GS and high oven
- spacious closet
- Telephone and TV connection available in every room
- sunny, spacious balcony
- Lift available
- Own laundry room with tumbler and washbasin
- Basement compartment
- Two varied playgrounds right outside the front door
- Parking spaces Fr. 130/month

The pictures show a similar apartment.
Read more",Apartment,1610.0,3.5,81.0,"Landstr. 80b, 8197 Rafz"
504,"
Elegant Horgen, 3 rooms with cellar, 5min. to the market
Feel at home, no matter where you want to live. You will be thrilled by this stylishly furnished Horgen 3-room apartment with modern interior design, fully equipped kitchen, and stylish living room with a great balcony view. Ideally located, you are close to the best Zurich has to offer! (ID",Furnished flat,3390.0,3.0,64.0,"Alpenblickstrasse, 8000 Zürich"
506,"
Attractive 2-room attic apartment in a central location on Löwenstrasse...
Welcome to this cozy 2-room attic apartment, which is in a prime location on the popular Löwenstrasse in Winterthur. The apartment was completely renovated just two years ago and therefore offers a modern and comfortable living experience.

Large skylights flood the rooms with natural light and create an inviting atmosphere. The renovation included a modern design with high-quality materials that create a stylish ambience. The open floor plan seamlessly connects the living and dining areas, creating a beautiful living space.

The modern kitchen has all the necessary appliances and offers ample storage space for your cooking utensils.

The bedroom invites you to relax and offers enough space. The bathroom has also been renovated and has modern fittings and high-quality equipment including washing machine and dryer.

The apartment is in close proximity to shops, restaurants, public transport and other amenities.

If you are interested in a viewing or require more information, please do not hesitate to contact us. This apartment offers you the ideal opportunity to live in a modern and well located environment. We are happily looking forward to hearing from you!
Read more",Apartment,1790.0,2.0,42.0,"Löwenstrasse 2, 8400 Winterthur"
508,"
Your new home in this spacious 6-room apartment
We rent this spacious 6-room apartment by arrangement. In addition to the central location, the apartment also offers the following advantages:

- Living room/kitchen area with slab floor
- Shower/toilet with separate washing tower
- large bathroom
- sunny terrace
- own cellar compartment
- spacious double garage

Various shopping opportunities and restaurants are in the immediate vicinity.

Have we piqued your interest? Then do not hesitate to contact us.

PS: Some of the photos are of similar apartments.
Read more",Apartment,1900.0,6.0,153.0,"Tösstalstrasse 45 - 51, 8636 Wald ZH"
509,"
Lifestyle Deluxe Room Shared kitchen
Deluxe room

- Fully furnished
- Modern and luxurious design
- Box spring bed: High-quality beds for ideal sleeping pleasure
- WiFi and landline connection, TV, free WiFi
-
Small satellite kitchen/communal kitchen in the annex building Home



Compulsory services:
- Taxes CHF 4.-- per person",Furnished flat,1734.0,1.0,32.0,"Eichwatt, 8000 Zürich"
510,"
Central apartment with a large patio
As of April 1st, 2023 we are renting this beautiful 3.5 room apartment in Winterthur.",Apartment,2120.0,3.5,82.0,"Römertorstrasse 2, 8404 Winterthur"
511,"
Spacious studio with balcony
The studio apartment has 27 m2 and is suitable as accommodation for 1-2 people for short or long stays in Zurich. The furnished studio has a spacious living/sleeping area with a double bed, a small kitchen corner with various kitchen utensils, a private bathroom and a balcony.

The following services are included in the price: high-speed wireless internet, satellite TV with international channels, monthly cleaning (for stays of 45 nights or more), bed linen and hand and bath towels. You also have the option of using washing machines and dryers in the basement.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2688.0,1.0,27.0,"Buckhauserstrasse, 8048 Zürich"
512,"
Studio apartment
The studio apartment with a small balcony is a first-class, high-quality furnished apartment that is suitable for one to two people. It is equipped with a fully equipped kitchen, bathroom and bedroom. The latter has a wardrobe and a double bed (200x180 cm). Wireless Internet access is included in the booking price. Also included are all ancillary costs, the weekly cleaning of your apartment, changing the bed linen and shared use of the laundry room.

You can register with the city with the rental agreement.

Note: The prices and dates shown are not mandatory final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
Energy certificate is not yet available / is currently being applied for
Read more",Furnished flat,3000.0,1.0,40.0,"NordstraÃŸe, 8006 Zürich"
513,"
Business Apartment with Garden View
The high-quality furnished 1.5 room apartments with garden view are located on the garden floor of a modern new building, in the immediate vicinity of the Raterschen-Elsau train station.
Large windows guarantee a light-flooded room with a pleasant living atmosphere. The apartments have a spacious seating area, a shower, a modern kitchen with cooking facilities and practical built-in cupboards. The apartments are characterized by other amenities such as electrically operated venetian blinds, underfloor heating or controlled ventilation. If desired, an underground parking space or outdoor parking space can be rented.
Flexible length of stay, short-term move-in options, high-quality design elements, functional WiFi and an operational printer are just a few of the amenities.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.
Read more",Furnished flat,1600.0,2.0,22.0,"St. Gallerstrasse, 8352 Ricketwil (Winterthur)"
516,"
Greifensee: The local recreation area
We rent a centrally located apartment with the following key details:

- New kitchen with dishwasher and ceramic glass
- New bathroom with double washbasin and washing tower
- Separate toilet
- Parquet living, sleeping and dining area
- Balcony
- Quiet location in the countryside
- Near S-Bahn station Nänikon-Greifensee
- Good opportunities for shopping
- About 10 minutes on foot to Greifensee

- Further information about the development can be found at: www.muellerwis.ch
- Further information about the community of Greifensee at www.greifsee.ch
- From summer 2024, an energy-efficient facade renovation is planned for the entire development, which will last in stages over several years.

Have we aroused interest?

For a viewing appointment, application link and further information, send us a message using the “Contact provider” contact form. You will then receive an automatic message with all the necessary information.

Pictures show the standard
Read more",Apartment,1680.0,3.5,90.0,"Seilerwis 5, 8606 Greifensee"
517,"
2.5 room apartment in Dübendorf - modern elegance and first-class comfort
This stunning property, located in the beautiful canton of Zurich, impresses with its outstanding features and offers a comfortable lifestyle. This apartment will be completed in 2024 and will then be in excellent condition. A light-flooded living room creates a pleasant atmosphere for relaxed moments and social gatherings. The open kitchen allows for a seamless cooking experience and gives the space a modern aesthetic. The apartment also impresses with one bedroom and bathroom that offers both luxury and privacy.




Read more",Apartment,2600.0,2.5,74.0,"Sonnentalstrasse 19, 8600 Dübendorf"
518,"
Newly renovated apartment in the middle of District 4
We rent this newly renovated and spacious apartment on the 2nd floor (with elevator), which offers you the following standard of expansion:

- Open kitchen


Read more",Apartment,2870.0,3.5,79.0,"Schöneggstrasse 15, 8004 Zürich"
520,"Moderne 2.5 Zim.,Keller,W-T. 1 Min. zum Markt
Entdecke mit dieser 2-Zimmer Wohnung in Horgen mit Balkonblick auf das Beste, was Zurich zu bieten hat. Komm an, und lebe dich sofort in dieser modern eingerichteten Wohnung mit voll ausgestatteter Kuche, charmant Wohnzimmer und unserem engagierten Support-Team vor Ort ein. (ID",Furnished flat,2275.0,2.0,47.0,"Seestrasse, 8000 Zürich"
521,"
Elaborately renovated old building apartment in the center of the city
The old building, which was extensively renovated to a high standard in 2020, is located in district 4 directly at the Kalkbreite/Wiedikon train station. Inside the apartment there is no sign of the street or bus stop. The attractive infrastructure, the diverse shopping opportunities and the central location leave nothing to be desired. The apartment also offers you the following comfort:





Read more",Apartment,4490.0,3.5,108.0,"Badenerstr. 157, 8004 Zürich"
522,"
Spacious 4.5 room apartment on the 2nd floor
Location: bright, sunny, very quiet, low-tax community, child-friendly, unobstructed view of meadow (Rüterwies clearance zone) and forest, right next to a large local recreation area, very good connection to public transport (S18) and can be reached from Zurich in about 10 minutes .

Rooms: spacious living room, 3 bedrooms arranged next to each other, modern kitchen with dining area, modern bathroom/toilet and separate shower/toilet, entrance hall with built-in wardrobes, réduit, sunny balcony, separate cellar compartment, elevator.

Furnishings: The apartment has a dishwasher (Miele), glass ceramic stove (Miele), granite cover, oven at eye level (Miele), fireplace in the living room. Parquet flooring in the living room and corridor, new high-quality carpets in the bedrooms, light-colored tiles in the bathrooms.

Parking spaces in the underground car park can be rented for CHF 130.00/month.


The viewing takes place on:

- Monday, December 4th, 2023 at 5:00 p.m

Please ring the Pavic family’s bell.

Note: The images published are apartments of similar type. Deviations are therefore possible.

Have we piqued your interest? Arrange a non-binding viewing appointment!
Read more",Apartment,2540.0,4.5,111.0,"Im Ahorn 7, 8125 Zollikerberg"
523,"
Business Apartment in Altstetten - without stove!
The apartment has a kitchenette WITHOUT stove and oven (see photo).
A microwave can be provided on request free of charge.
The kitchen also has a Nespresso coffee machine. Here you will be given two capsules as a welcome gift.
All rooms are modernly furnished with a comfortable seating area, desk and parquet floor
Bathroom with shower and hairdryer
Nespresso coffee machine
Free WLAN, USB ports and network cable
Partly TV system with 200 free Filming
Partially balcony or terrace
Contact person on site
Virtual concierge
Weekly cleaning service including bed linen change
Breakfast buffet or snacks for on the go in the restaurant on request
There is a private fitness room in the building.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2542.0,1.0,18.0,"Baslerstrasse, 8048 Zürich"
524,"
Your new dream home with a lake view
We are renting this spacious 4.5-room apartment in a well-kept property on a sunny hillside location as of January 16, 2024. In addition to the wonderful lake view and the cozy winter garden, this apartment offers you, among other things, the following amenities:

- all living rooms with oak parquet floors
- various, useful built-in cupboards
- open, bright and modern kitchen
- with granite top and large refrigerator
- with glass ceramic stove and dishwasher
- Bathroom/toilet with slab floor
- separate guest toilet with slab floor
- spacious, cozy terrace (18m2)
- Winter garden (10m2)
- Basement compartment

Please note that the photos are sample photos and are only intended to show the standard of expansion. You can find the exact room layout in the attached floor plan.

Parking spaces in the underground car park can be rented on request for CHF 130.00 and outdoor parking spaces for CHF 60.00 per month.

In just a few minutes' walk you can reach the ""Gulmenmatt"" bus stop, from where you can take bus numbers 123, 124, 150
Read more",Apartment,2780.0,4.5,131.0,"Hangenmoosstr. 3, 8820 Wädenswil"
